state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens_acc,period_tokens_acc,cases_check_ok,id,speed_violation,unknown_causes,tyre_burst,mechanically_defective_vehicle,brake_failure,overloading,dangerous_overtaking,route_obstruction,dangerous_driving,bad_road,road_traffic_violation,obstruction,sign_and_signal_violation,: driver_alcohol_and_drugs,poor_weather,fatigue,sleeping_while_driving,state_tokens_cau,period_tokens_cau,total_causes_recorded
91,imo,6,13,4,23,64,14,78,145,q2 2021,['imo'],"['q2', '2021']",True,91.0,6,0,5,0,3,0,0,1,3,0,2,1,0,0,0,0,3,['imo'],"['q2', '2021']",24
92,jigawa,22,41,0,63,370,46,416,499,q2 2021,['jigawa'],"['q2', '2021']",True,92.0,74,0,12,1,0,7,1,6,0,0,6,9,0,0,0,1,2,['jigawa'],"['q2', '2021']",119
93,kaduna,94,126,2,222,837,217,1054,1790,q2 2021,['kaduna'],"['q2', '2021']",True,93.0,179,0,21,1,3,4,1,31,12,2,4,8,0,0,0,5,19,['kaduna'],"['q2', '2021']",290
94,kano,22,47,1,70,286,57,343,480,q2 2021,['kano'],"['q2', '2021']",True,94.0,56,0,3,1,1,0,3,7,6,1,1,2,0,0,0,0,0,['kano'],"['q2', '2021']",81
95,katsina,20,19,0,39,148,40,188,229,q2 2021,['katsina'],"['q2', '2021']",True,95.0,40,0,2,0,0,0,0,2,8,3,0,0,0,0,0,0,3,['katsina'],"['q2', '2021']",58
96,kebbi,4,47,2,53,130,4,134,220,q2 2021,['kebbi'],"['q2', '2021']",True,96.0,41,0,0,0,0,1,0,4,1,0,4,0,0,1,0,0,2,['kebbi'],"['q2', '2021']",54
97,kogi,21,57,19,97,246,25,271,705,q2 2021,['kogi'],"['q2', '2021']",True,97.0,56,0,3,6,5,4,0,10,9,0,7,2,2,0,0,0,32,['kogi'],"['q2', '2021']",136
98,kwara,32,63,13,108,368,80,448,750,q2 2021,['kwara'],"['q2', '2021']",True,98.0,64,0,10,6,3,0,0,16,3,0,0,0,0,2,0,0,37,['kwara'],"['q2', '2021']",141
99,lagos,28,75,42,145,266,47,313,717,q2 2021,['lagos'],"['q2', '2021']",True,99.0,75,0,7,6,20,0,0,6,14,6,3,0,0,0,0,3,0,['lagos'],"['q2', '2021']",140
100,nasarawa,37,182,23,242,600,53,653,1106,q2 2021,['nasarawa'],"['q2', '2021']",True,100.0,107,1,6,2,5,3,2,43,37,1,10,4,1,2,0,0,48,['nasarawa'],"['q2', '2021']",272
101,niger,47,98,3,148,516,103,619,946,q2 2021,['niger'],"['q2', '2021']",True,101.0,114,0,7,1,2,2,2,16,1,2,6,4,0,0,0,18,14,['niger'],"['q2', '2021']",189
102,ogun,73,185,79,337,637,121,758,1980,q2 2021,['ogun'],"['q2', '2021']",True,102.0,293,0,0,17,0,0,0,19,3,0,5,1,0,1,0,0,0,['ogun'],"['q2', '2021']",339
103,ondo,32,68,14,114,299,47,346,772,q2 2021,['ondo'],"['q2', '2021']",True,103.0,90,2,9,3,5,0,0,13,13,5,3,2,0,2,0,1,0,['ondo'],"['q2', '2021']",148
104,osun,24,55,8,87,250,52,302,615,q2 2021,['osun'],"['q2', '2021']",True,104.0,61,0,15,3,7,1,1,8,4,2,4,3,0,0,0,3,0,['osun'],"['q2', '2021']",112
105,oyo,46,96,10,152,400,85,485,1009,q2 2021,['oyo'],"['q2', '2021']",True,105.0,107,1,10,2,4,0,0,22,12,5,11,2,0,0,0,5,0,['oyo'],"['q2', '2021']",181
106,plateau,13,68,18,99,283,23,306,579,q2 2021,['plateau'],"['q2', '2021']",True,106.0,31,0,2,3,17,0,0,10,17,1,2,4,0,0,0,0,6,['plateau'],"['q2', '2021']",93
107,rivers,4,16,6,26,65,6,71,142,q2 2021,['rivers'],"['q2', '2021']",True,107.0,13,0,0,0,2,0,2,3,4,0,4,0,0,0,0,0,0,['rivers'],"['q2', '2021']",28
108,sokoto,20,3,0,23,87,37,124,196,q2 2021,['sokoto'],"['q2', '2021']",True,108.0,35,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,['sokoto'],"['q2', '2021']",39
