state_id,state,fatal,serious,minor,total_cases,number_injured,number_killed,total_casualty,people_involved,period,state_tokens,period_tokens,cases_check_ok
188,akwa ibom,7,8,1,16,35,7,42,84,q1 2022,"['akwa', 'ibom']","['q1', '2022']",True
189,anambra,15,20,3,38,103,22,125,376,q1 2022,['anambra'],"['q1', '2022']",True
190,bauchi,40,99,1,140,499,73,572,1105,q1 2022,['bauchi'],"['q1', '2022']",True
191,bayelsa,2,16,5,23,61,2,63,140,q1 2022,['bayelsa'],"['q1', '2022']",True
192,benue,18,52,4,74,221,27,248,461,q1 2022,['benue'],"['q1', '2022']",True
193,borno,9,16,0,25,114,25,139,187,q1 2022,['borno'],"['q1', '2022']",True
194,cross river,5,13,3,21,71,8,79,135,q1 2022,"['cross', 'river']","['q1', '2022']",True
195,delta,30,44,7,81,227,62,289,568,q1 2022,['delta'],"['q1', '2022']",True
196,ebonyi,11,17,5,33,87,22,109,217,q1 2022,['ebonyi'],"['q1', '2022']",True
197,edo,21,42,14,77,176,54,230,569,q1 2022,['edo'],"['q1', '2022']",True
198,ekiti,3,14,2,19,35,3,38,74,q1 2022,['ekiti'],"['q1', '2022']",True
199,enugu,21,28,8,57,211,38,249,600,q1 2022,['enugu'],"['q1', '2022']",True
200,fct,43,186,90,319,467,56,523,1609,q1 2022,['fct'],"['q1', '2022']",True
201,gombe,10,63,0,73,274,16,290,415,q1 2022,['gombe'],"['q1', '2022']",True
202,imo,7,16,3,26,54,17,71,134,q1 2022,['imo'],"['q1', '2022']",True
203,jigawa,18,83,1,102,417,37,454,724,q1 2022,['jigawa'],"['q1', '2022']",True
204,kaduna,82,106,9,197,887,197,1084,1818,q1 2022,['kaduna'],"['q1', '2022']",True
205,kano,42,48,2,92,417,138,555,782,q1 2022,['kano'],"['q1', '2022']",True
206,katsina,12,1,0,13,76,37,113,143,q1 2022,['katsina'],"['q1', '2022']",True
207,kebbi,7,46,4,57,229,22,251,350,q1 2022,['kebbi'],"['q1', '2022']",True
208,kogi,41,86,15,142,474,95,569,1449,q1 2022,['kogi'],"['q1', '2022']",True
209,kwara,32,55,7,94,315,86,401,635,q1 2022,['kwara'],"['q1', '2022']",True
210,lagos,25,98,75,198,276,48,324,1118,q1 2022,['lagos'],"['q1', '2022']",True
211,nasarawa,47,189,11,247,556,70,626,1225,q1 2022,['nasarawa'],"['q1', '2022']",True
212,niger,62,80,4,146,754,155,909,1580,q1 2022,['niger'],"['q1', '2022']",True
